Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,Date
Alba,10345,121,4.24,2020-12-04
Arad,11747,125,4.71,2020-12-04
Arges,14706,244,4.67,2020-12-04
Bacau,13567,134,2.52,2020-12-04
Bihor,14685,228,3.76,2020-12-04
Bistrita-Nasaud,6042,97,2.55,2020-12-04
Botosani,6495,96,2.48,2020-12-04
Brasov,19957,355,5.19,2020-12-04
Braila,5996,117,3.02,2020-12-04
Buzau,6806,92,2.02,2020-12-04
Caras-Severin,5023,78,2.41,2020-12-04
Calarasi,4660,76,3.08,2020-12-04
Cluj,23008,434,5.74,2020-12-04
Constanta,18731,431,7.04,2020-12-04
Covasna,4308,51,2.27,2020-12-04
Dambovita,11884,85,2.96,2020-12-04
Dolj,12665,105,2.51,2020-12-04
Galati,11265,269,3.27,2020-12-04
Giurgiu,4467,206,2.93,2020-12-04
Gorj,4491,51,1.29,2020-12-04
Harghita,4784,53,1.1,2020-12-04
Hunedoara,9276,176,3.47,2020-12-04
Ialomita,4993,83,3.49,2020-12-04
Iasi,21179,340,2.81,2020-12-04
Ilfov,16460,322,7.01,2020-12-04
Maramures,8866,79,2.2,2020-12-04
Mehedinti,4144,46,2.41,2020-12-04
Mures,12507,196,3.07,2020-12-04
Neamt,9602 ,102,1.64,2020-12-04
Olt,7651,77,1.15,2020-12-04
Prahova,19911,267,3.49,2020-12-04
Satu Mare,5883,98,3.38,2020-12-04
Salaj,5624,42,2.16,2020-12-04
Sibiu,14559,203,5.42,2020-12-04
Suceava,13491,124,1.79,2020-12-04
Teleorman,5836,98,2.39,2020-12-04
Timis,19981,344,4.03,2020-12-04
Tulcea,3951,95,3.56,2020-12-04
Vaslui,8152,188,2.18,2020-12-04
Valcea,8266,69,2.62,2020-12-04
Vrancea,5858,137,1.7,2020-12-04
Mun. Bucuresti,70807 ,986,5.39,2020-12-04
