Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,Date
Alba,10563,84,4.02,2020-12-06
Arad,12045,103,4.55,2020-12-06
Arges,15168,255,4.5,2020-12-06
Bacau,13947,138,2.52,2020-12-06
Bihor,14963,120,3.48,2020-12-06
Bistrita-Nasaud,6169,45,2.45,2020-12-06
Botosani,6634,56,2.42,2020-12-06
Brasov,20543,234,5.02,2020-12-06
Braila,6132,57,2.89,2020-12-06
Buzau,6943,83,1.95,2020-12-06
Caras-Severin,5138,33,2.44,2020-12-06
Calarasi,4844,108,2.86,2020-12-06
Cluj,23624,335,5.58,2020-12-06
Constanta,19506,388,7.17,2020-12-06
Covasna,4421,43,2.27,2020-12-06
Dambovita,12198,120,3.2,2020-12-06
Dolj,12893,127,2.41,2020-12-06
Galati,11684,126,3.4,2020-12-06
Giurgiu,4685,100,3.03,2020-12-06
Gorj,4544,20,1.2,2020-12-06
Harghita,4828,24,1.09,2020-12-06
Hunedoara,9560,164,3.29,2020-12-06
Ialomita,5134,95,3.2,2020-12-06
Iasi,21716,231,2.64,2020-12-06
Ilfov,17273,324,7.26,2020-12-06
Maramures,8995,44,2.23,2020-12-06
Mehedinti,4205,26,2.18,2020-12-06
Mures,12845,112,3.0,2020-12-06
Neamt,9711 ,49,1.53,2020-12-06
Olt,7841,105,1.17,2020-12-06
Prahova,20490,259,3.6,2020-12-06
Satu Mare,6045,94,3.14,2020-12-06
Salaj,5683,31,1.93,2020-12-06
Sibiu,14891,139,5.0,2020-12-06
Suceava,13643,51,1.65,2020-12-06
Teleorman,5963,23,2.25,2020-12-06
Timis,20485,232,3.94,2020-12-06
Tulcea,4092,55,3.47,2020-12-06
Vaslui,8382,109,2.2,2020-12-06
Valcea,8442,115,2.47,2020-12-06
Vrancea,6005,56,1.74,2020-12-06
Mun. Bucuresti,74022 ,1588,5.8,2020-12-06
