Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,Date,lat,long
Alba,9169,133,"6,08",24-11-2020,46.0709,23.5731
Arad,10291,130,"5,9",24-11-2020,46.1762,21.3011
Arges,12146,148,"4,95",24-11-2020,44.8601,24.8678
Bacau,12093,118,"2,81",24-11-2020,46.5829,26.9167
Bihor,12874,150,"5,27",24-11-2020,47.0718,21.9211
Bistrita-Nasaud,5398,96,"4,11",24-11-2020,47.1325,24.483
Botosani,5518,119,"2,69",24-11-2020,47.7325,26.683000000000003
Brasov,17312,319,"7,36",24-11-2020,45.6495,25.6
Braila,5085,10,"3,12",24-11-2020,45.2687,27.9575
Buzau,6098,48,"2,54",24-11-2020,45.1495,26.817
Caras-Severin,4379,82,"2,71",24-11-2020,45.2995,21.8903
Calarasi,3705,31,"3,08",24-11-2020,44.1995,27.333
Cluj,19474,393,"7,03",24-11-2020,46.7662,23.5833
Constanta,14200,190,"6,5",24-11-2020,44.1729,28.6383
Covasna,3838,63,"3,1",24-11-2020,45.8631,25.7875
Dambovita,10490,148,"3,51",24-11-2020,44.9237,25.4567
Dolj,11059,84,"3,21",24-11-2020,44.3325,23.817
Galati,9283,170,"2,85",24-11-2020,45.43899999999999,28.0344
Giurgiu,3691,88,"2,43",24-11-2020,43.8906,25.9572
Gorj,4114,42,"1,72",24-11-2020,45.0334,23.2747
Harghita,4406,30,"1,84",24-11-2020,46.3495,25.8
Hunedoara,7834,137,"3,6",24-11-2020,45.8665,22.9
Ialomita,4073,102,"3,44",24-11-2020,44.5642,27.3517
Iasi,18086,344,"3,29",24-11-2020,47.1618,27.5889
Ilfov,13272,209,"7,1",24-11-2020,44.5695,25.95
Maramures,7800,94,"3,07",24-11-2020,47.6496,23.567
Mehedinti,3627,42,"3,04",24-11-2020,44.6229,22.6678
Mures,11032,126,"4,75",24-11-2020,46.5493,24.5597
Neamt,8878 ,68,"2,24",24-11-2020,46.927,26.3708
Olt,6677,48,"1,8",24-11-2020,44.4365,24.37
Prahova,17410,252,"4,43",24-11-2020,44.9395,26.03
Satu Mare,4896,105,"4,99",24-11-2020,47.7896,22.89
Salaj,5203,38,"4,36",24-11-2020,47.1907,23.0572
Sibiu,12682,82,"8,47",24-11-2020,45.7954,24.1522
Suceava,12495,195,"2,24",24-11-2020,47.6509,26.2556
Teleorman,5072,72,"2,75",24-11-2020,43.9665,25.333
Timis,17587,272,"5,45",24-11-2020,5.799,21.2939
Tulcea,3105,45,"3,36",24-11-2020,45.1895,28.8
Vaslui,7143,92,"2,11",24-11-2020,46.6379,27.7292
Valcea,7457,51,"2,8",24-11-2020,45.1043,24.3756
Vrancea,5013,78,"1,89",24-11-2020,45.6965,27.1867
Mun. Bucuresti,60859 ,1147,"6,55",24-11-2020,44.4348,26.1028
